course,heard_from_website,heard_from_social_media,heard_from_event,heard_from_familyfriend,heard_from_student,heard_from_alumni,heard_from_teacher,heard_from_counselor,heard_from_ad,heard_from_employer,heard_from_billboard,heard_from_television,heard_from_radio,impact_ccm_cost,impact_ccm_location,impact_ccm_choice,impact_ccm_online,impact_ccm_referral,impact_ccm_faculty,impact_ccm_reputation,impact_ccm_financial_aid,impact_ccm_scholarships,impact_ccm_small_class_sizes,impact_ccm_extra-curricular_opportunities,impact_ccm_accepted_my_transfer_credits,impact_ccm_negative_experience_at_another_college,impact_ccm_nj_stars_program,impact_ccm_transfer_credits_from_ccm,impact_ccm_get_college_credit_while_in_high_school,events_open_house,events_instant_decision_day,events_on-campus_information_session,events_virtual_info_session,events_women_who_dare,events_regional_college_fair,events_hs_sharetime_information_session,events_challenger_program,events_cybersecurity_information_protection_program_participation_,events_information_session_at_my_high_school,events_campus_visit_with_my_high_school,events_campus_visit_(individual),events_workforce_development_class,events_corporate_training,events_teen_arts_festival,events_summer_camp_at_ccm,impact_comp_middle/high_school_computing_class,impact_comp_middle/high_school_computing_related_club,impact_comp_competitions,impact_comp_afterschool_computing-related_camp/program,impact_comp_summer_computing_related_camp/program,impact_comp_an_ap_computing_class,impact_comp_a_dual_enrollment_computing_class,impact_comp_family_or_friend_influence,impact_comp_family_or_friend_working_in_the_computing_field,impact_comp_high_school_teacher_or_guidance_counselor,impact_comp_employer_influence,impact_comp_student,impact_comp_experience_at_work,degree,motivated_to_get_a_job_in_the_computing_field,motivated_transfer_to_bachelor's_level_program,motivated_hs_transfer,motivated_career_advancement,motivated_career_change,motivated_professional_development,motivated_job_displacement,motivated_relocation,motivated_to_keep_current_in_tech_industry,motivated_it_industry_certifications,motivated_financial,motivated_personal_enrichment,info_sources_high_school_guidance_counselor,info_sources_teacher,info_sources_ccm_information_technologies_website,info_sources_ccm_admissions,info_sources_ccm_advisor/counselor,info_sources_employer,info_sources_ccm_workforce_development,info_sources_nj_workforce_development_program,change_major,interest,gender,race,age
cmp 120 foundations of information security,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,cybersecurity,yes,no,no,yes,no,yes,no,no,no,no,yes,yes,no,no,yes,yes,yes,no,no,no,art,,man,black/african american,19-20
cmp 120 foundations of information security,no,don't recall,don't recall,yes,no,no,no,yes,don't recall,no,no,no,no,no impact,high impact,high impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,high impact,no impact,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,business,,,,,,,,,,,,,,,,,,,,,,3.0,man,white/caucasian,19-20
cmp 120 foundations of information security,no,no,no,yes,no,no,no,no,no,no,no,no,no,high impact,high impact,no impact,no impact,high impact,no impact,no impact,high impact,no impact,no impact,no impact,no impact,no impact,no impact,high impact,no impact,not sure,no,not sure,no,no,no,no,no,no,no,no,not sure,no,no,no,no,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,high impact,no impact,no impact,no impact,no impact,information technology,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,don't recall,don't recall,no,no,no,no,first choice,,man,choose not to reply,21-24
cmp 120 foundations of information security,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,high impact,high impact,no impact,no impact,no impact,no impact,no impact,high impact,no impact,no impact,no impact,no impact,no impact,no impact,high impact,no impact,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no impact,no impact,high impact,no impact,no impact,no impact,no impact,high impact,high impact,no impact,no impact,no impact,no impact,information technology,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,first choice,,man,multi-racial,19-20
cmp 131 fundamentals of programming (python),no,yes,no,yes,no,yes,no,no,no,no,yes,yes,no,high impact,high impact,high impact,high impact,high impact,no impact,high impact,no impact,no impact,no impact,no impact,high impact,no impact,no impact,high impact,no impact,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no impact,no impact,no impact,no impact,no impact,no impact,no impact,high impact,high impact,no impact,no impact,no impact,high impact,information technology,no,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,science,,man,hispanic or latino,35-64
cmp 131 fundamentals of programming (python),no,no,no,yes,yes,no,no,no,no,yes,no,no,no,high impact,high impact,no impact,no impact,high impact,no impact,no impact,no impact,no impact,no impact,no impact,high impact,no impact,no impact,no impact,no impact,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no impact,no impact,no impact,no impact,no impact,high impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,computer science,yes,yes,no,no,yes,yes,no,no,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,engineering,,man,white/caucasian,21-24
cmp 131 fundamentals of programming (python),yes,yes,no,yes,no,no,no,no,yes,no,yes,yes,no,high impact,high impact,high impact,high impact,no impact,high impact,high impact,high impact,high impact,high impact,no impact,high impact,high impact,no impact,high impact,no impact,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no impact,no impact,high impact,no impact,no impact,no impact,no impact,high impact,high impact,high impact,no impact,no impact,no impact,information technology,yes,yes,no,yes,no,yes,no,no,no,yes,yes,yes,no,no,yes,yes,yes,no,yes,no,first choice,,woman,hispanic or latino,21-24
cmp 131 fundamentals of programming (python),yes,no,no,yes,no,no,no,no,no,no,no,no,no,no impact,no impact,high impact,high impact,high impact,no impact,high impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,data science,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,first choice,,woman,black/african american,25-34
cmp 131 fundamentals of programming (python),yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,no,no,high impact,high impact,high impact,high impact,no impact,no impact,high impact,high impact,high impact,high impact,no impact,high impact,no impact,no impact,high impact,no impact,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,computer science,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,first choice,,man,white/caucasian,25-34
cmp 131 fundamentals of programming (python),yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,high impact,high impact,high impact,high impact,high impact,no impact,high impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,high impact,no impact,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no impact,no impact,no impact,no impact,no impact,high impact,no impact,high impact,high impact,high impact,high impact,high impact,no impact,information technology,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,no,first choice,,man,asian,19-20
cmp 128 computer science i,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,high impact,high impact,no impact,high impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,high impact,high impact,no impact,high impact,no impact,yes,not sure,yes,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,yes,not sure,not sure,not sure,not sure,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,computer science,yes,yes,no,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,liberal arts,,woman,white/caucasian,21-24
cmp 128 computer science i,yes,no,yes,yes,no,no,yes,yes,don't recall,don't recall,don't recall,don't recall,don't recall,high impact,high impact,high impact,no impact,high impact,no impact,high impact,no impact,no impact,no impact,high impact,no impact,no impact,no impact,high impact,no impact,yes,no,yes,not sure,not sure,not sure,not sure,not sure,not sure,yes,not sure,yes,not sure,not sure,not sure,not sure,no impact,no impact,no impact,no impact,no impact,high impact,no impact,high impact,high impact,no impact,no impact,no impact,no impact,computer science,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,don't recall,yes,don't recall,yes,don't recall,don't recall,first choice,,woman,asian,18 and younger
cmp 128 computer science i,yes,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no impact,no impact,no impact,no impact,high impact,no impact,high impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,high impact,high impact,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,challenger program,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,i’m a senior in high school,,man,white/caucasian,18 and younger
cmp 128 computer science i,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,no,high impact,high impact,no impact,no impact,high impact,no impact,no impact,high impact,high impact,high impact,no impact,no impact,no impact,no impact,high impact,no impact,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,chemistry,,,,,,,,,,,,,,,,,,,,,,4.0,woman,asian,19-20
cmp 128 computer science i,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,high impact,high impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,high impact,no impact,high impact,no impact,no impact,high impact,no impact,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,high impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,graphic design,,,,,,,,,,,,,,,,,,,,,,5.0,woman,hispanic or latino,18 and younger
cmp 239 internet & web page design,don't recall,don't recall,don't recall,don't recall,don't recall,don't recall,don't recall,don't recall,don't recall,don't recall,don't recall,don't recall,don't recall,no impact,no impact,high impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,high impact,no impact,no impact,no impact,no impact,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,digital media technology,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,first choice,,man,white/caucasian,21-24
cmp 239 internet & web page design,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,business,,,,,,,,,,,,,,,,,,,,,,2.0,man,white/caucasian,35-64
cmp 239 internet & web page design,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no impact,no impact,no impact,no impact,high impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,high impact,no impact,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,business,,,,,,,,,,,,,,,,,,,,,,1.0,man,white/caucasian,21-24
cmp 239 internet & web page design,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no impact,high impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,high impact,no impact,no impact,no impact,no impact,no impact,no impact,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,business,,,,,,,,,,,,,,,,,,,,,,4.0,woman,hispanic or latino,21-24
cmp 239 internet & web page design,no,no,no,no,yes,yes,no,no,no,no,no,no,no,high impact,high impact,high impact,no impact,high impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,high impact,no impact,high impact,no impact,yes,yes,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,graphic design,,,,,,,,,,,,,,,,,,,,,,4.0,prefer not to say,american indian/native american/alaska native,21-24
cmp 239 internet & web page design,no,no,no,yes,no,no,no,no,no,no,no,no,no,no impact,no impact,no impact,no impact,high impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,high impact,digital media technology,yes,no,no,yes,yes,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,journalism,,man,white/caucasian,21-24
cmp 239 internet & web page design,yes,don't recall,don't recall,yes,yes,don't recall,yes,yes,don't recall,don't recall,don't recall,don't recall,don't recall,high impact,high impact,high impact,high impact,no impact,no impact,high impact,high impact,high impact,no impact,high impact,high impact,no impact,no impact,no impact,no impact,yes,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,yes,not sure,not sure,not sure,not sure,no impact,no impact,no impact,no impact,no impact,no impact,no impact,high impact,no impact,no impact,no impact,high impact,high impact,undecided,,,,,,,,,,,,,,,,,,,,,,5.0,man,hispanic or latino,19-20
cmp 120 foundations of information security,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no impact,no impact,high impact,no impact,high impact,no impact,high impact,no impact,high impact,no impact,no impact,high impact,no impact,no impact,high impact,high impact,yes,not sure,not sure,not sure,not sure,yes,yes,not sure,no,yes,yes,no,no,no,no,no,high impact,high impact,high impact,high impact,high impact,no impact,no impact,high impact,high impact,no impact,no impact,high impact,no impact,information technology,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,don't recall,don't recall,don't recall,don't recall,don't recall,don't recall,don't recall,engineering,,man,asian,18 and younger
cmp 120 foundations of information security,no,no,no,no,no,no,no,yes,no,no,no,no,no,no impact,no impact,high impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,high impact,high impact,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no impact,no impact,no impact,no impact,no impact,no impact,no impact,high impact,no impact,no impact,no impact,no impact,no impact,undecided,,,,,,,,,,,,,,,,,,,,,,4.0,man,white/caucasian,18 and younger
cmp 120 foundations of information security,no,no,no,yes,no,no,no,no,no,no,no,no,no,no impact,no impact,high impact,no impact,high impact,no impact,no impact,no impact,high impact,no impact,no impact,high impact,no impact,no impact,high impact,high impact,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no impact,no impact,no impact,no impact,no impact,no impact,no impact,high impact,high impact,no impact,no impact,no impact,no impact,cybersecurity,,,,,,,,,,,,,,,,,,,,,,4.0,man,asian,18 and younger
cmp 120 foundations of information security,no,no,don't recall,yes,no,no,no,yes,no,no,no,no,no,no impact,no impact,no impact,no impact,no impact,no impact,high impact,no impact,no impact,no impact,no impact,high impact,no impact,no impact,no impact,high impact,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no impact,no impact,no impact,no impact,no impact,high impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,cybersecurity,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,physical therapy,,man,american indian/native american/alaska native,18 and younger
cmp 120 foundations of information security,don't recall,don't recall,yes,don't recall,don't recall,don't recall,don't recall,yes,don't recall,don't recall,don't recall,don't recall,don't recall,no impact,no impact,high impact,no impact,no impact,no impact,no impact,no impact,high impact,high impact,no impact,no impact,no impact,no impact,high impact,high impact,no,no,no,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no impact,no impact,high impact,no impact,no impact,no impact,high impact,no impact,no impact,no impact,no impact,no impact,no impact,information technology,yes,yes,no,no,no,no,no,no,no,yes,no,no,don't recall,don't recall,don't recall,don't recall,don't recall,don't recall,don't recall,don't recall,engineering,,woman,hispanic or latino,18 and younger
cmp 120 foundations of information security,no,no,no,yes,no,no,no,no,no,no,no,no,no,no impact,no impact,high impact,no impact,high impact,no impact,no impact,no impact,high impact,no impact,high impact,no impact,no impact,no impact,high impact,high impact,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no impact,no impact,no impact,no impact,no impact,no impact,no impact,high impact,no impact,no impact,no impact,no impact,no impact,information technology,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,first choice,,woman,hispanic or latino,18 and younger
cmp 120 foundations of information security,don't recall,no,no,yes,yes,no,no,no,no,no,no,no,no,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,high impact,high impact,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,information technology,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,first choice,,man,white/caucasian,18 and younger
cmp 131 fundamentals of programming (python),no,no,no,no,no,no,no,yes,no,no,no,no,no,no impact,no impact,high impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,cybersecurity,yes,no,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,first choice,,man,multi-racial,18 and younger
cmp 131 fundamentals of programming (python),no,no,no,no,no,no,no,yes,no,no,no,no,no,high impact,no impact,high impact,no impact,no impact,no impact,no impact,high impact,high impact,no impact,no impact,no impact,no impact,no impact,high impact,high impact,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,cybersecurity,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,first choice,,man,asian,18 and younger
cmp 120 foundations of information security,no,no,no,yes,no,yes,no,no,no,no,no,no,no,high impact,no impact,high impact,no impact,no impact,no impact,high impact,high impact,high impact,no impact,high impact,high impact,no impact,no impact,high impact,high impact,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,information technology,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,first choice,,woman,black/african american,18 and younger
cmp 120 foundations of information security,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,high impact,no impact,no impact,no impact,no impact,cybersecurity,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,science,,man,multi-racial,18 and younger
cmp 120 foundations of information security,no,no,no,yes,yes,no,yes,yes,no,no,no,no,no,high impact,high impact,high impact,no impact,high impact,no impact,high impact,high impact,no impact,no impact,high impact,high impact,no impact,no impact,high impact,high impact,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,no impact,no impact,no impact,no impact,no impact,no impact,no impact,high impact,no impact,high impact,no impact,no impact,no impact,computer science,yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,engineering,,man,hispanic or latino,18 and younger
cmp 131 fundamentals of programming (python),yes,no,don't recall,no,yes,no,don't recall,no,yes,no,don't recall,no,yes,high impact,no impact,high impact,no impact,no impact,no impact,high impact,no impact,high impact,no impact,no impact,no impact,high impact,no impact,high impact,no impact,yes,no,not sure,no,yes,no,not sure,no,yes,no,not sure,no,yes,no,not sure,no,no impact,no impact,high impact,no impact,high impact,no impact,no impact,no impact,high impact,no impact,high impact,no impact,no impact,cybersecurity,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,no,don't recall,no,yes,no,don't recall,no,engineering,,man,multi-racial,65+
cmp 120 foundations of information security,no,no,no,yes,no,no,no,no,no,no,no,no,no,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,information technology,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,first choice,,woman,asian,18 and younger
cmp 131 fundamentals of programming (python),yes,don't recall,don't recall,yes,no,no,yes,yes,no,no,no,no,no,high impact,high impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,high impact,no impact,no impact,no impact,high impact,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,data science,yes,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,science,,man,white/caucasian,19-20
cmp 131 fundamentals of programming (python),no,no,no,yes,yes,no,yes,yes,no,no,no,no,no,high impact,high impact,no impact,no impact,high impact,no impact,high impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,high impact,high impact,no,no,yes,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no impact,no impact,no impact,no impact,no impact,high impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,computer science,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,,,man,hispanic or latino,19-20
cmp 131 fundamentals of programming (python),yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,high impact,high impact,no impact,no impact,no impact,no impact,high impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,high impact,no impact,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,high impact,no impact,business,,,,,,,,,,,,,,,,,,,,,,5.0,man,white/caucasian,21-24
cmp 131 fundamentals of programming (python),yes,no,no,yes,no,no,yes,yes,no,no,no,no,no,no impact,no impact,high impact,high impact,no impact,no impact,high impact,no impact,no impact,high impact,no impact,no impact,no impact,no impact,high impact,no impact,no,yes,yes,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,high impact,no impact,high impact,no impact,no impact,no impact,no impact,no impact,no impact,high impact,no impact,no impact,no impact,computer science,yes,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,don't recall,no,no,no,no,first choice,,man,multi-racial,25-34
cmp 131 fundamentals of programming (python),yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no impact,no impact,high impact,high impact,high impact,no impact,no impact,no impact,no impact,no impact,no impact,high impact,no impact,no impact,high impact,no impact,no,no,no,no,not sure,no,no,no,no,no,no,no,no,no,no,no,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,high impact,information technology,yes,yes,no,yes,yes,yes,no,no,no,yes,no,yes,no,no,yes,yes,yes,no,no,no,first choice,,man,hispanic or latino,25-34
cmp 131 fundamentals of programming (python),yes,yes,yes,yes,yes,yes,yes,yes,don't recall,don't recall,don't recall,don't recall,don't recall,high impact,high impact,high impact,high impact,no impact,no impact,high impact,no impact,no impact,no impact,no impact,no impact,high impact,no impact,no impact,no impact,yes,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,yes,not sure,not sure,not sure,not sure,not sure,not sure,no impact,no impact,no impact,high impact,no impact,high impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,data science,,,,,,,,,,,,,,,,,,,,,,4.0,man,white/caucasian,19-20
cmp 131 fundamentals of programming (python),yes,don't recall,don't recall,don't recall,don't recall,don't recall,don't recall,don't recall,don't recall,don't recall,don't recall,don't recall,don't recall,high impact,high impact,high impact,high impact,no impact,no impact,no impact,high impact,high impact,no impact,no impact,no impact,no impact,no impact,high impact,no impact,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,high impact,data science,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,don't recall,yes,no,no,no,no,first choice,,woman,black/african american,35-64
cmp 131 fundamentals of programming (python),don't recall,don't recall,don't recall,don't recall,yes,don't recall,yes,yes,don't recall,don't recall,don't recall,don't recall,don't recall,high impact,high impact,high impact,high impact,high impact,high impact,no impact,high impact,high impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no impact,no impact,no impact,no impact,no impact,no impact,no impact,high impact,high impact,no impact,no impact,high impact,no impact,computer science,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,first choice,,man,hispanic or latino,19-20
cmp 131 fundamentals of programming (python),yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,high impact,high impact,no impact,no impact,no impact,no impact,no impact,high impact,no impact,high impact,no impact,no impact,no impact,no impact,high impact,no impact,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,data science,,,,,,,,,,,,,,,,,,,,,,5.0,man,hispanic or latino,18 and younger
cmp 131 fundamentals of programming (python),yes,no,no,yes,no,yes,no,yes,no,no,no,no,no,high impact,high impact,high impact,high impact,no impact,no impact,high impact,high impact,no impact,no impact,no impact,no impact,high impact,no impact,high impact,no impact,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,computer science,yes,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,no,no,yes,no,no,no,no,no,first choice,,man,white/caucasian,35-64
cmp 131 fundamentals of programming (python),no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,high impact,high impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,high impact,no impact,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,computer science,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,don't recall,no,no,no,first choice,,man,white/caucasian,18 and younger
cmp 131 fundamentals of programming (python),no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no impact,no impact,high impact,high impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,high impact,high impact,no impact,no impact,no impact,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,no impact,computer science,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,first choice,,man,white/caucasian,19-20
